update,frames,FPS,duration,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
105,107520,2283.039094219269,49,-2376.125,1549.2489460622523,-5305.0,-898.0,193.875,148.91561158924875,40.0,450.0,0.23637555167078972,-84.46478271484375,141.00376510620117,22116.548828125,20.563182728302564
106,108544,2238.1744778421644,49,-2445.5625,1633.9112284159596,-5135.0,-702.5,198.25,145.41728748673592,34.0,450.0,0.3109123781323433,-85.21397018432617,155.0525665283203,27099.205078125,39.74823220679293
107,109568,2267.8809097360686,50,-1978.75,1142.350728760655,-4291.0,-490.0,191.0,146.3403567031323,21.0,450.0,0.1969641149044037,-85.9314079284668,134.5009002685547,20402.27490234375,16.88139350511883
108,110592,2303.562689830833,50,-2399.3125,1823.1426668238967,-6271.5,-490.0,211.75,168.1931553304117,21.0,450.0,0.19159778207540512,-86.64880752563477,131.31304359436035,19016.34130859375,9.760441875588947
109,111616,2283.033026357405,51,-2399.3125,1823.1426668238967,-6271.5,-490.0,211.75,168.1931553304117,21.0,450.0,0.2476727031171322,-87.36524391174316,134.2686004638672,19634.63134765625,16.560573370611337
110,112640,2257.8875768449893,51,-3050.25,1976.6313515676109,-6271.5,-461.0,300.0,190.096685925873,24.0,450.0,0.23190438374876976,-88.05233383178711,131.57706832885742,20826.09423828125,27.717664229030973
111,113664,2288.135326521262,52,-3214.9375,2045.5085009218978,-5674.0,-461.0,295.875,199.11581899738655,24.0,450.0,0.14633898064494133,-88.61429023742676,135.04234313964844,21914.1640625,24.621243396727085
112,114688,2298.386512890327,52,-3214.9375,2045.5085009218978,-5674.0,-461.0,295.875,199.11581899738655,24.0,450.0,0.17226319760084152,-89.31488609313965,140.6276512145996,21892.93603515625,22.390592602452923
113,115712,2252.9309548775673,52,-4141.6875,1459.7925138846788,-5674.0,-1095.0,349.5,132.83071933856263,54.0,450.0,0.18191897496581078,-90.02935600280762,135.07920455932617,20016.15185546875,18.679386035720803
114,116736,2228.4406690665173,53,-3653.75,1139.1922302666921,-5119.0,-1255.5,338.0,112.942463227964,92.0,450.0,0.2369406335055828,-90.70136642456055,147.0237159729004,23303.60302734375,16.293213535137433
115,117760,2283.0342399271976,53,-3389.625,1283.182414692081,-5188.0,-1255.5,326.75,137.24590157815277,92.0,450.0,0.14575400575995445,-91.4049243927002,163.93327713012695,29572.58544921875,15.126983457108993
116,118784,2283.037880644316,54,-3298.9375,1363.9298790054238,-5188.0,-1255.5,298.25,149.0903668920296,92.0,450.0,0.15127212926745415,-92.11399269104004,159.6884307861328,28065.21240234375,13.808922673133342
117,119808,2195.034684367452,54,-4520.4375,908.0014949567815,-5565.0,-2508.0,370.0,111.98549013153445,139.0,450.0,0.22636089846491814,-92.77585220336914,151.2195816040039,25876.4912109375,32.50564834615755
118,120832,2238.176810539887,55,-4357.8125,1151.0285329190367,-5565.0,-1583.5,367.0,118.27827357549653,115.0,450.0,0.2539399340748787,-93.44327163696289,159.95393753051758,28283.67578125,16.875655727030093
119,121856,2037.9402819638776,55,-4279.5625,1118.1921636479797,-5565.0,-1583.5,363.0,120.85425106300563,115.0,450.0,0.2555305138230324,-94.18052291870117,146.78286743164062,23701.0263671875,21.134899962843367
120,122880,2104.8942697921602,56,-3469.9375,2044.9110377578165,-5712.5,-308.0,297.5,180.0465217659036,2.0,450.0,0.21387352049350739,-94.85572814941406,144.2712860107422,23548.27734375,23.83696432540325
121,123904,2223.604293789289,56,-2619.125,1835.0784000622425,-5561.5,-308.0,218.875,168.4587764855248,2.0,450.0,0.1471923403441906,-95.51561546325684,160.27371978759766,28321.1142578125,17.30222168263018
122,124928,2104.8901435011817,57,-2548.625,1992.3128323320614,-5543.5,-469.0,192.375,171.5669967534549,14.0,450.0,0.12745515629649162,-96.19219589233398,158.95694732666016,29941.86376953125,13.756148566833799
123,125952,2009.9714511683194,57,-2722.125,1974.113483788356,-5543.5,-650.0,233.0,186.88365364579107,26.0,450.0,0.1450275294482708,-96.76741600036621,160.4950294494629,30136.3203125,15.127960389640801
